iter	Passed	Remaining
645	46708	25595
646	46778	25522
647	46845	25447
648	46932	25382
649	47017	25317
650	47080	25239
651	47156	25169
652	47233	25099
653	47313	25031
654	47377	24954
655	47456	24885
656	47529	24813
657	47610	24745
658	47680	24672
659	47746	24596
660	47804	24517
661	47870	24441
662	47939	24367
663	48036	24307
664	48116	24239
665	48193	24169
666	48261	24094
667	48337	24023
668	48407	23950
669	48482	23879
670	48542	23801
671	48613	23728
672	48673	23649
673	48740	23574
674	48796	23494
675	48863	23419
676	48926	23343
677	49000	23271
678	49091	23208
679	49161	23134
680	49225	23058
681	49294	22984
682	49360	22909
683	49430	22836
684	49495	22760
685	49575	22692
686	49658	22624
687	49722	22548
688	49796	22477
689	49858	22400
690	49926	22326
691	49982	22246
692	50078	22184
693	50147	22111
694	50208	22033
695	50276	21959
696	50359	21892
697	50430	21819
698	50503	21747
699	50564	21670
700	50636	21598
701	50702	21523
702	50775	21451
703	50839	21375
704	50914	21304
705	50983	21231
706	51055	21158
707	51164	21101
708	51233	21028
709	51306	20956
710	51377	20883
711	51450	20811
712	51549	20750
713	51635	20683
714	51702	20608
715	51762	20531
716	51821	20453
717	51876	20374
718	51939	20299
719	52018	20229
720	52091	20157
721	52202	20100
722	52278	20029
723	52349	19956
724	52419	19883
725	52499	19813
726	52584	19746
727	52670	19679
728	52732	19603
729	52787	19524
730	52853	19449
731	52929	19378
732	52989	19301
733	53053	19226
734	53140	19159
735	53246	19099
736	53301	19020
737	53372	18948
738	53442	18874
739	53504	18798
740	53573	18725
741	53649	18654
742	53716	18580
743	53774	18502
744	53837	18427
745	53905	18353
746	53982	18283
747	54049	18209
748	54119	18136
749	54186	18062
750	54280	17997
751	54356	17925
752	54436	17856
753	54503	17782
754	54573	17709
755	54639	17634
756	54705	17560
757	54773	17487
758	54843	17414
759	54915	17341
760	54985	17268
761	55046	17193
762	55113	17119
763	55177	17044
764	55264	16976
765	55347	16907
766	55431	16839
767	55501	16766
768	55578	16695
769	55638	16619
770	55712	16547
771	55789	16476
772	55868	16406
773	55946	16335
774	56020	16263
775	56089	16190
776	56147	16114
777	56215	16040
778	56292	15969
779	56380	15902
780	56443	15827
781	56510	15753
782	56577	15679
783	56640	15604
784	56708	15531
785	56775	15458
786	56841	15384
787	56914	15312
788	56986	15239
789	57053	15166
790	57119	15092
791	57187	15018
792	57261	14947
793	57412	14895
794	57468	14818
795	57534	14744
796	57602	14671
797	57680	14600
798	57746	14527
799	57804	14451
800	57854	14373
801	57919	14299
802	57993	14227
803	58071	14156
804	58127	14080
805	58183	14004
806	58245	13929
807	58310	13855
808	58377	13782
809	58487	13719
810	58564	13648
811	58638	13576
812	58708	13503
813	58779	13431
814	58836	13355
815	58906	13282
816	58977	13210
817	59056	13139
818	59126	13067
819	59204	12996
820	59263	12920
821	59301	12841
822	59364	12767
823	59442	12696
824	59527	12627
825	59634	12562
826	59708	12490
827	59788	12419
828	59862	12348
829	59935	12275
830	60003	12202
831	60072	12130
832	60122	12053
833	60166	11975
834	60238	11903
835	60305	11830
836	60367	11756
837	60438	11683
838	60519	11613
839	60638	11550
840	60712	11478
841	60782	11405
842	60854	11333
843	60932	11262
844	61003	11189
845	61056	11114
846	61113	11039
847	61186	10967
848	61251	10894
849	61318	10820
850	61381	10747
851	61452	10674
852	61497	10597
853	61565	10525
854	61683	10460
855	61756	10388
856	61825	10316
857	61889	10242
858	61925	10164
859	61985	10090
860	62047	10016
861	62111	9943
862	62178	9870
863	62244	9797
864	62321	9726
865	62389	9653
866	62448	9579
867	62517	9507
868	62583	9434
869	62693	9368
870	62755	9294
871	62829	9222
872	62913	9152
873	62953	9075
874	63028	9004
875	63086	8930
876	63145	8856
877	63205	8782
878	63284	8711
879	63352	8639
880	63423	8566
881	63490	8494
882	63558	8421
883	63630	8349
884	63752	8284
885	63850	8215
886	63957	8147
887	64036	8076
888	64123	8006
889	64189	7933
890	64248	7859
891	64314	7786
892	64384	7714
893	64443	7640
894	64485	7565
895	64567	7494
896	64633	7421
897	64698	7348
898	64787	7278
899	64869	7207
900	64943	7135
901	65016	7063
902	65083	6991
903	65148	6918
904	65221	6846
905	65262	6771
906	65326	6698
907	65399	6626
908	65467	6553
909	65532	6481
910	65606	6409
911	65670	6336
912	65744	6264
913	65841	6195
914	65926	6124
915	65987	6051
916	66050	5978
917	66114	5905
918	66170	5832
919	66234	5759
920	66309	5687
921	66372	5615
922	66441	5542
923	66500	5469
924	66560	5396
925	66604	5322
926	66661	5249
927	66725	5177
928	66785	5104
929	66838	5030
930	66952	4962
931	67014	4889
932	67053	4815
933	67124	4743
934	67190	4670
935	67253	4598
936	67331	4527
937	67401	4455
938	67468	4382
939	67537	4310
940	67574	4236
941	67639	4164
942	67711	4092
943	67774	4020
944	67810	3946
945	67878	3874
946	68002	3805
947	68051	3732
948	68118	3660
949	68185	3588
950	68259	3517
951	68329	3445
952	68394	3373
953	68455	3300
954	68524	3228
955	68597	3157
956	68668	3085
957	68743	3013
958	68783	2940
959	68850	2868
960	68914	2796
961	69009	2725
962	69079	2654
963	69145	2582
964	69221	2510
965	69261	2437
966	69334	2366
967	69396	2294
968	69464	2222
969	69496	2149
970	69554	2077
971	69624	2005
972	69690	1933
973	69756	1862
974	69795	1789
975	69862	1717
976	69926	1646
977	70002	1574
978	70152	1504
979	70206	1432
980	70276	1361
981	70345	1289
982	70417	1217
983	70480	1146
984	70546	1074
985	70611	1002
986	70671	930
987	70750	859
988	70810	787
989	70879	715
990	70919	644
991	70950	572
992	71022	500
993	71078	429
994	71185	357
995	71261	286
996	71320	214
997	71389	143
998	71466	71
999	71540	0
