iter	Passed	Remaining
577	37266	27208
578	37317	27134
579	37368	27059
580	37423	26988
581	37482	26920
582	37533	26846
583	37590	26776
584	37660	26716
585	37716	26645
586	37776	26578
587	37851	26521
588	37911	26454
589	37972	26387
590	38025	26315
591	38089	26251
592	38147	26182
593	38210	26116
594	38269	26049
595	38330	25982
596	38392	25916
597	38446	25845
598	38507	25779
599	38558	25705
600	38620	25640
601	38683	25574
602	38741	25506
603	38809	25444
604	38868	25376
605	38935	25314
606	38985	25241
607	39044	25173
608	39102	25105
609	39160	25037
610	39217	24968
611	39276	24900
612	39328	24828
613	39396	24767
614	39454	24699
615	39510	24630
616	39568	24561
617	39624	24492
618	39687	24427
619	39749	24362
620	39810	24296
621	39883	24237
622	39946	24173
623	40005	24105
624	40064	24038
625	40131	23976
626	40197	23913
627	40255	23845
628	40315	23779
629	40376	23713
630	40429	23642
631	40486	23574
632	40548	23509
633	40618	23448
634	40677	23381
635	40734	23313
636	40786	23242
637	40846	23176
638	40904	23108
639	40963	23042
640	41017	22972
641	41079	22907
642	41134	22838
643	41197	22773
644	41267	22713
645	41329	22648
646	41380	22577
647	41445	22513
648	41516	22453
649	41576	22387
650	41640	22323
651	41698	22256
652	41758	22190
653	41814	22121
654	41883	22060
655	41947	21996
656	42009	21931
657	42067	21864
658	42123	21797
659	42178	21728
660	42230	21658
661	42289	21591
662	42336	21519
663	42388	21449
664	42450	21384
665	42512	21320
666	42569	21252
667	42628	21186
668	42688	21120
669	42743	21052
670	42805	20988
671	42870	20925
672	42927	20857
673	42991	20794
674	43050	20727
675	43104	20659
676	43156	20590
677	43210	20521
678	43270	20456
679	43329	20390
680	43387	20324
681	43441	20255
682	43499	20189
683	43550	20119
684	43607	20053
685	43663	19985
686	43716	19917
687	43780	19853
688	43831	19784
689	43891	19719
690	43957	19656
691	44005	19586
692	44052	19515
693	44124	19455
694	44177	19387
695	44246	19325
696	44301	19258
697	44351	19189
698	44405	19121
699	44465	19056
700	44524	18991
701	44580	18924
702	44640	18859
703	44706	18796
704	44773	18735
705	44839	18672
706	44894	18605
707	44950	18539
708	45015	18475
709	45070	18409
710	45127	18342
711	45185	18277
712	45237	18209
713	45288	18140
714	45348	18075
715	45407	18010
716	45459	17942
717	45520	17878
718	45574	17811
719	45632	17745
720	45686	17678
721	45735	17610
722	45788	17542
723	45840	17474
724	45901	17410
725	45979	17353
726	46038	17288
727	46094	17222
728	46163	17160
729	46212	17092
730	46266	17025
731	46324	16960
732	46397	16900
733	46455	16835
734	46507	16768
735	46558	16700
736	46603	16630
737	46659	16564
738	46722	16501
739	46797	16442
740	46860	16379
741	46920	16314
742	46986	16252
743	47040	16186
744	47100	16121
745	47162	16057
746	47217	15992
747	47275	15927
748	47330	15861
749	47392	15797
750	47458	15735
751	47525	15673
752	47588	15610
753	47654	15547
754	47711	15482
755	47766	15416
756	47829	15353
757	47881	15286
758	47940	15222
759	48007	15160
760	48063	15094
761	48120	15029
762	48193	14969
763	48262	14908
764	48316	14842
765	48368	14775
766	48430	14712
767	48486	14647
768	48552	14584
769	48613	14521
770	48671	14456
771	48738	14394
772	48808	14333
773	48870	14269
774	48922	14203
775	48977	14137
776	49033	14072
777	49087	14007
778	49149	13943
779	49202	13877
780	49256	13812
781	49317	13748
782	49374	13683
783	49429	13618
784	49484	13553
785	49531	13485
786	49580	13418
787	49645	13356
788	49706	13292
789	49761	13227
790	49820	13163
791	49881	13100
792	49946	13037
793	50017	12976
794	50087	12915
795	50148	12852
796	50205	12787
797	50270	12725
798	50327	12660
799	50386	12596
800	50441	12531
801	50495	12466
802	50551	12401
803	50613	12338
804	50691	12279
805	50759	12217
806	50817	12153
807	50882	12090
808	50948	12028
809	51002	11963
810	51055	11898
811	51114	11834
812	51184	11773
813	51248	11710
814	51301	11645
815	51354	11579
816	51401	11513
817	51466	11450
818	51526	11387
819	51583	11323
820	51640	11258
821	51692	11193
822	51750	11129
823	51813	11066
824	51880	11004
825	51941	10941
826	52002	10878
827	52064	10815
828	52121	10751
829	52178	10687
830	52237	10623
831	52288	10558
832	52345	10494
833	52405	10430
834	52467	10367
835	52526	10304
836	52584	10240
837	52645	10177
838	52700	10113
839	52756	10048
840	52810	9984
841	52875	9922
842	52930	9857
843	52979	9792
844	53036	9728
845	53095	9665
846	53157	9602
847	53210	9537
848	53276	9475
849	53339	9412
850	53387	9347
851	53435	9282
852	53493	9218
853	53561	9156
854	53625	9094
855	53681	9030
856	53737	8966
857	53794	8903
858	53851	8839
859	53914	8776
860	53975	8713
861	54041	8651
862	54102	8588
863	54156	8524
864	54216	8461
865	54279	8398
866	54339	8335
867	54402	8273
868	54454	8208
869	54510	8145
870	54560	8080
871	54632	8019
872	54689	7956
873	54751	7893
874	54809	7829
875	54872	7767
876	54921	7702
877	54986	7640
878	55038	7576
879	55091	7512
880	55152	7449
881	55218	7387
882	55277	7324
883	55343	7262
884	55404	7199
885	55455	7135
886	55517	7072
887	55583	7010
888	55639	6947
889	55701	6884
890	55757	6821
891	55815	6757
892	55871	6694
893	55938	6632
894	56000	6569
895	56074	6508
896	56143	6446
897	56206	6384
898	56263	6321
899	56320	6257
900	56381	6195
901	56443	6132
902	56509	6070
903	56561	6006
904	56634	5945
905	56688	5881
906	56750	5818
907	56804	5755
908	56862	5692
909	56915	5628
910	56971	5565
911	57033	5503
912	57093	5440
913	57150	5377
914	57208	5314
915	57264	5251
916	57332	5189
917	57386	5125
918	57446	5063
919	57505	5000
920	57560	4937
921	57614	4874
922	57678	4811
923	57737	4748
924	57803	4686
925	57855	4623
926	57915	4560
927	57968	4497
928	58029	4435
929	58085	4372
930	58143	4309
931	58195	4246
932	58260	4183
933	58328	4121
934	58398	4059
935	58452	3996
936	58519	3934
937	58593	3872
938	58664	3810
939	58735	3749
940	58800	3686
941	58868	3624
942	58935	3562
943	58995	3499
944	59067	3437
